"Mobiliteitstrend; per rit, vervoerwijzen, reismotief, leeftijd en geslacht";;;;;;;;;;;;;;;;;;;;;;;;;;
Geslacht: Totaal mannen en vrouwen;;;;;;;;;;;;;;;;;;;;;;;;;;
Marges: Waarde;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Vervoerwijzen;Totaal;Totaal;Totaal;Auto (bestuurder);Auto (bestuurder);Auto (bestuurder);Auto (passagier);Auto (passagier);Auto (passagier);Trein;Trein;Trein;Bus/tram/metro;Bus/tram/metro;Bus/tram/metro;Fiets;Fiets;Fiets;Lopen;Lopen;Lopen;Overige vervoerwijze;Overige vervoerwijze;Overige vervoerwijze
;;Onderwerp;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit;Ritten per persoon per dag (gemiddeld);Afgelegde afstand per rit (gemiddeld);Reisduur per rit
Perioden;Leeftijd;Reismotieven;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten;aantal;km;Minuten
2007*;Totaal;Van en naar het werk;0,61;15,49;25,15;0,26;22,41;29,76;0,03;21,24;30,49;0,03;41,37;41,95;0,04;10,2;25,36;0,15;3,71;17,72;0,06;0,89;10,46;0,04;20,37;29,66
2007*;Totaal;Winkelen, boodschappen doen;0,65;5,18;14,6;0,22;7,3;14,59;0,08;10,88;19,2;0,01;42,14;45,73;0,02;8,22;24,7;0,18;1,94;12,08;0,13;0,88;12,51;0,01;6;16,06
2007*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,3;6,91;17,91;0,02;23,51;29,07;0,03;8,66;16,9;0,01;38,41;41,2;0,03;11,96;27,76;0,13;3;15,76;0,07;0,71;9,31;0,01;12,73;30,88
2007*;Totaal;Vrije tijd;1,1;12,67;32,03;0,27;19,96;28,71;0,21;23,26;32,55;0,02;64,27;65,9;0,03;10,18;30,4;0,27;4,84;29,53;0,28;2,17;33,71;0,03;18,71;48,66
2007*;Totaal;Overige reismotieven;0,54;12,11;20,19;0,25;16,43;22,55;0,06;19,79;26,47;0,01;62,44;58,81;0,01;8,57;25,77;0,12;2,2;12,94;0,08;0,84;11,46;0,02;20,26;29,84
2008*;Totaal;Totaal;3,17;10,82;23,41;0,99;16,92;24,37;0,39;18,74;27,7;0,07;48,72;49,4;0,13;9,99;26,75;0,85;3,33;18,92;0,63;1,35;20,23;0,11;16,62;31,87
2008*;Totaal;Van en naar het werk;0,62;14,99;24,52;0,26;22,26;29,57;0,03;20,57;30,1;0,03;41,78;42,23;0,04;9,91;25,2;0,16;3,69;17,45;0,07;0,8;9,19;0,04;19,11;28,63
2008*;Totaal;Winkelen, boodschappen doen;0,64;4,89;14,37;0,21;7,1;14,54;0,07;10,13;19,1;0,01;42,58;46,05;0,02;7,79;24,62;0,18;1,93;12,03;0,14;0,84;11,91;0,01;4,7;15,49
2008*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;6,87;17,77;0,02;23,46;29,34;0,03;8,35;16,72;0,01;38,61;41,39;0,03;11,94;27,83;0,13;3;15,75;0,07;0,68;8,76;0,01;12,3;29,82
2008*;Totaal;Vrije tijd;1,06;12,58;31,64;0,27;19,76;28,6;0,2;22,83;32,36;0,01;64,7;65,65;0,03;10,35;30,1;0,25;4,79;29,2;0,27;2,09;33,23;0,03;17,72;44,7
2008*;Totaal;Overige reismotieven;0,55;11,7;19,75;0,24;16,21;22,4;0,06;19,36;26,2;0,01;62,73;58,83;0,01;8,78;25,7;0,12;2,21;12,85;0,09;0,78;10,71;0,02;18,81;28,9
2009*;Totaal;Totaal;3,2;10,9;23,58;1;17,14;24,49;0,39;18,98;27,74;0,07;48,81;49,6;0,13;10,09;26,79;0,86;3,4;19,28;0,64;1,4;20,44;0,11;16,04;32,16
2009*;Totaal;Van en naar het werk;0,61;15,16;24,68;0,25;22,64;29,77;0,03;20,76;30,05;0,03;41,73;42,35;0,04;10,08;25,23;0,16;3,74;17,62;0,07;0,81;9,39;0,04;18,31;28,45
2009*;Totaal;Winkelen, boodschappen doen;0,64;5;14,46;0,21;7,27;14,59;0,07;10,45;19,14;0;42,21;45,97;0,02;7,42;24,4;0,18;1,96;11,99;0,14;0,89;12,46;0,01;5,25;15,34
2009*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,29;6,86;17,67;0,02;23,66;29,73;0,03;8,3;16,7;0,01;38,79;41,65;0,03;11,87;27,81;0,13;3,01;15,73;0,07;0,67;8,39;0,01;11,84;29,73
2009*;Totaal;Vrije tijd;1,11;12,59;31,67;0,27;20,03;28,74;0,2;23,18;32,42;0,02;64,86;65,79;0,03;10,82;30,18;0,27;4,85;29,56;0,28;2,14;32,76;0,03;16,87;45,85
2009*;Totaal;Overige reismotieven;0,55;11,71;19,76;0,25;16,28;22,43;0,06;19,02;26,07;0,01;62,47;58,83;0,01;8,56;25,64;0,12;2,24;12,85;0,09;0,81;10,77;0,02;18,26;28,3
2010*;Totaal;Totaal;3,21;10,93;23,5;1;17,29;24,59;0,4;19,06;27,67;0,07;48,48;49,42;0,13;9,73;26,71;0,83;3,4;19,25;0,68;1,38;19,91;0,11;16,66;32,62
2010*;Totaal;Van en naar het werk;0,63;15,26;24,72;0,26;22,88;29,91;0,03;20,93;29,97;0,03;41,59;42,41;0,04;9,73;25,19;0,15;3,77;17,76;0,08;0,83;9,66;0,04;19,78;29,45
2010*;Totaal;Winkelen, boodschappen doen;0,65;5,09;14,52;0,21;7,39;14,71;0,08;10,81;19,27;0;42,21;46,31;0,02;7,52;24,56;0,18;1,98;12,13;0,15;0,87;12,16;0,01;5,79;16,58
2010*;Totaal;Onderwijs volgen, cursus, kinderopvang;0,3;6,9;17,74;0,02;23,88;30,11;0,03;8,89;17,21;0,01;38,62;41,49;0,03;11,41;27,64;0,13;3,02;15,72;0,07;0,69;8,8;0,01;11,63;29,8
2010*;Totaal;Vrije tijd;1,09;12,56;31,45;0,27;20,1;28,76;0,2;23,28;32,45;0,02;64,56;65,52;0,03;10,19;29,96;0,26;4,84;29,48;0,29;2,13;31,99;0,03;16,18;44,96
2010*;Totaal;Overige reismotieven;0,53;11,91;20;0,24;16,38;22,53;0,06;19,4;26,18;0,01;62,48;59,01;0,01;8,39;25,69;0,11;2,26;12,94;0,09;0,81;11,14;0,02;19,74;29,95
2011*;Totaal;Totaal;3,09;11,21;23,76;0,97;17,73;24,73;0,36;19,51;27,72;0,07;48,37;49,49;0,13;9,64;26,71;0,85;3,45;19,47;0,61;1,41;20,5;0,11;17,9;33,08
2011*;Totaal;Van en naar het werk;0,62;15,53;24,82;0,26;23,27;29,95;0,03;21,31;29,91;0,03;41,44;42,33;0,04;9,66;25,18;0,16;3,81;17,77;0,07;0,82;9,59;0,04;20,53;29,35
